City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sattahip,TH,12.6664,100.9007,77.09,69,20,10.36,few clouds
1,Bredasdorp,ZA,-34.5322,20.0403,60.96,82,49,3.6,scattered clouds
2,Souillac,MU,-20.5167,57.5167,77.38,83,40,3.44,scattered clouds
3,Pacific Grove,US,36.6177,-121.9166,58.41,78,0,8.99,clear sky
4,Lorengau,PG,-2.0226,147.2712,80.76,76,78,2.13,broken clouds
5,Avarua,CK,-21.2078,-159.775,80.65,83,20,11.5,few clouds
6,Mont-De-Marsan,FR,44.0,-0.6667,64.62,68,100,10.36,overcast clouds
7,Srivardhan,IN,18.0333,73.0167,83.1,82,5,5.88,clear sky
8,Adrar,MR,20.5022,-10.0711,97.79,8,0,2.57,clear sky
9,Sabha,LY,27.0377,14.4283,78.75,18,51,8.77,broken clouds
10,Port-Gentil,GA,-0.7193,8.7815,81.3,77,99,11.52,overcast clouds
11,Barrow,US,71.2906,-156.7887,15.82,79,100,11.5,overcast clouds
12,Saskylakh,RU,71.9167,114.0833,4.03,89,30,7.63,scattered clouds
13,Abu Samrah,SY,35.3029,37.1841,71.37,43,92,13.24,overcast clouds
14,Hilo,US,19.7297,-155.09,73.27,93,100,6.91,heavy intensity rain
15,Pisco,PE,-13.7,-76.2167,69.03,77,0,6.91,clear sky
16,Upernavik,GL,72.7868,-56.1549,12.63,70,48,1.79,scattered clouds
17,Vao,NC,-22.6667,167.4833,75.61,87,12,9.4,few clouds
18,Hun,LY,29.1268,15.9477,76.08,26,1,10.65,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,48.31,66,20,25.32,few clouds
20,Qaanaaq,GL,77.484,-69.3632,18.28,59,100,0.76,overcast clouds
21,Baruun-Urt,MN,46.6806,113.2792,56.97,22,79,10.63,broken clouds
22,Pevek,RU,69.7008,170.3133,1.38,97,43,2.84,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,77.07,70,100,8.59,overcast clouds
24,Bluff,NZ,-46.6,168.3333,46.8,80,48,8.14,scattered clouds
25,Paamiut,GL,61.994,-49.6678,32.94,81,95,13.53,overcast clouds
26,Hami,CN,42.8,93.45,67.35,9,26,5.91,scattered clouds
27,Harer,ET,9.3094,42.1258,66.63,58,40,4.09,scattered clouds
28,Atuona,PF,-9.8,-139.0333,79.0,81,100,16.98,light rain
29,Taoudenni,ML,22.6783,-3.9836,94.93,10,0,9.44,clear sky
30,Busselton,AU,-33.65,115.3333,59.31,74,46,7.87,scattered clouds
31,Acapulco,MX,16.8634,-99.8901,87.31,41,85,6.78,overcast clouds
32,Puerto Ayacucho,VE,5.6639,-67.6236,90.19,53,14,2.98,few clouds
33,Carnarvon,AU,-24.8667,113.6333,68.07,77,0,12.66,clear sky
34,Hermanus,ZA,-34.4187,19.2345,63.81,50,63,4.23,broken clouds
35,Jamestown,US,42.097,-79.2353,54.01,80,100,11.99,overcast clouds
36,Bethel,US,41.3712,-73.414,55.51,79,100,4.0,overcast clouds
37,Buchanan,LR,5.8808,-10.0467,83.39,75,86,8.81,overcast clouds
38,Severo-Kurilsk,RU,50.6789,156.125,33.33,86,99,4.92,overcast clouds
39,Torbay,CA,47.6666,-52.7314,45.28,89,100,8.05,overcast clouds
40,Te Anau,NZ,-45.4167,167.7167,47.68,82,67,1.12,broken clouds
41,Masvingo,ZW,-20.0637,30.8277,57.74,62,10,4.43,clear sky
42,Port Alfred,ZA,-33.5906,26.891,67.17,84,34,4.0,scattered clouds
43,Vaini,TO,-21.2,-175.2,75.36,88,100,11.5,overcast clouds
44,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,10.36,clear sky
45,Tyumentsevo,RU,53.3224,81.498,49.33,53,1,5.19,clear sky
46,Bengkulu,ID,-3.8004,102.2655,77.05,91,100,4.72,light rain
47,Tuatapere,NZ,-46.1333,167.6833,50.07,85,26,5.14,scattered clouds
48,Cape Town,ZA,-33.9258,18.4232,70.92,52,0,3.44,clear sky
49,Capreol,CA,46.706,-80.9225,50.56,92,75,9.22,broken clouds
50,Airai,TL,-8.9266,125.4092,59.7,81,99,2.62,overcast clouds
51,Oga,IT,46.4631,10.347,50.97,83,64,2.64,broken clouds
52,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,17,8.57,few clouds
53,Eidfjord,NO,60.4675,7.0719,42.1,87,90,7.34,overcast clouds
54,San Pedro,PH,14.35,121.0167,83.43,72,40,4.61,scattered clouds
55,Aklavik,CA,68.2191,-135.0107,32.54,99,88,5.08,overcast clouds
56,Tasiilaq,GL,65.6145,-37.6368,28.87,71,100,2.33,overcast clouds
57,Hobart,AU,-42.8794,147.3294,63.27,72,75,6.91,broken clouds
58,Khandyga,RU,62.6667,135.6,28.87,96,99,3.87,overcast clouds
59,Georgetown,MY,5.4112,100.3354,82.33,93,40,1.14,scattered clouds
60,Iqaluit,CA,63.7506,-68.5145,19.13,79,100,18.41,light snow
61,Crotone,IT,39.0851,17.1178,61.2,80,72,9.04,broken clouds
62,Leh,IN,34.1667,77.5833,51.46,27,2,4.97,clear sky
63,Vanimo,PG,-2.6741,141.3028,77.95,88,76,3.56,light rain
64,Havoysund,NO,70.9963,24.6622,30.43,74,100,20.8,light snow
65,Umm Lajj,SA,25.0213,37.2685,81.95,57,39,0.63,scattered clouds
66,Albany,US,42.6001,-73.9662,55.62,77,90,4.0,overcast clouds
67,Ginda,IN,30.6945,78.4932,60.93,67,99,6.87,overcast clouds
68,Faya,SA,18.3851,42.4509,71.71,57,35,5.7,light rain
69,Butaritari,KI,3.0707,172.7902,80.73,80,58,13.13,light rain
70,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,12,6.76,few clouds
71,Salamanca,ES,40.8333,-6.0,62.38,67,89,11.99,overcast clouds
72,Cockburn Town,TC,21.4612,-71.1419,78.76,82,52,17.67,broken clouds
73,Arman,RU,59.7,150.1667,28.02,92,62,1.19,broken clouds
74,Shelopugino,RU,51.6514,117.5599,38.86,39,59,6.26,broken clouds
75,New Norfolk,AU,-42.7826,147.0587,62.92,72,100,4.83,overcast clouds
76,Mataura,NZ,-46.1927,168.8643,46.47,85,35,2.8,scattered clouds
77,Conde,BR,-7.2597,-34.9075,81.86,89,75,18.41,light rain
78,Provideniya,RU,64.3833,-173.3,21.0,52,27,2.62,scattered clouds
79,Dingle,PH,10.9995,122.6711,76.14,74,99,5.48,overcast clouds
80,Toora-Khem,RU,52.4675,96.11,51.51,65,95,5.48,overcast clouds
81,San Pedro De Macoris,DO,18.4616,-69.2972,84.81,70,94,10.96,overcast clouds
82,Sayyan,YE,15.1718,44.3244,69.08,26,56,8.19,light rain
83,Kozhva,RU,65.1073,57.0459,27.81,85,98,5.57,overcast clouds
84,Kapaa,US,22.0752,-159.319,71.92,96,100,17.27,moderate rain
85,Port Elizabeth,ZA,-33.918,25.5701,72.1,86,0,13.8,clear sky
86,Nelson Bay,AU,-32.7167,152.15,57.99,95,1,5.93,clear sky
87,Cayenne,GF,4.9333,-52.3333,83.08,3,75,12.66,mist
88,Zhigansk,RU,66.7697,123.3711,15.42,88,100,14.38,overcast clouds
89,Faanui,PF,-16.4833,-151.75,80.73,74,92,9.22,overcast clouds
90,Coruripe,BR,-10.1256,-36.1756,81.19,75,67,9.55,light rain
91,Esperance,AU,-33.8667,121.9,57.04,64,100,15.01,overcast clouds
92,Stornoway,GB,58.2093,-6.3865,51.93,79,20,18.41,few clouds
93,Nuuk,GL,64.1835,-51.7216,34.88,69,77,3.0,broken clouds
94,Lata,PT,40.1629,-8.3327,63.91,59,6,12.73,clear sky
95,Port Pirie,AU,-33.1833,138.0167,48.29,53,0,6.96,clear sky
96,Ponta Do Sol,PT,32.6667,-17.1,72.01,73,5,6.8,clear sky
97,Alyangula,AU,-13.8483,136.4192,73.27,94,5,0.0,clear sky
98,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,75,9.22,broken clouds
99,Takoradi,GH,4.8845,-1.7554,83.25,75,100,9.93,overcast clouds
100,Pahrump,US,36.2083,-115.9839,73.26,19,0,5.01,clear sky
101,Isangel,VU,-19.55,169.2667,78.15,87,90,8.55,overcast clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,72,38,4.43,scattered clouds
103,Luderitz,NA,-26.6481,15.1594,71.19,36,20,3.67,few clouds
104,Victoria,HK,22.2855,114.1577,69.33,77,100,8.99,overcast clouds
105,Nouadhibou,MR,20.931,-17.0347,71.58,68,9,20.71,dust
106,Kirakira,SB,-10.4544,161.9205,79.56,83,99,2.08,overcast clouds
107,Ushuaia,AR,-54.8,-68.3,49.66,46,20,10.36,few clouds
108,Inirida,CO,3.8653,-67.9239,92.79,48,31,2.19,scattered clouds
109,Hithadhoo,MV,-0.6,73.0833,85.57,75,91,18.81,overcast clouds
110,Aitape,PG,-3.1374,142.3475,79.02,87,99,3.18,overcast clouds
111,Rio Tuba,PH,8.5061,117.4317,80.58,79,99,3.0,overcast clouds
112,Bundaberg,AU,-24.85,152.35,66.49,84,75,6.91,broken clouds
113,Hamilton,US,39.1834,-84.5333,70.5,50,0,12.66,clear sky
114,Dikson,RU,73.5069,80.5464,11.46,96,100,12.17,overcast clouds
115,Seoul,KR,37.5683,126.9778,51.24,71,0,3.44,clear sky
116,Natal,BR,-5.795,-35.2094,88.02,70,75,18.41,broken clouds
