City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sattahip,TH,77.09,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
1,Bredasdorp,ZA,60.96,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
2,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Pacific Grove,US,58.41,clear sky,36.6177,-121.9166,Lovers Point Inn
4,Lorengau,PG,80.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
6,Mont-De-Marsan,FR,64.62,overcast clouds,44.0,-0.6667,Le moulin vieux
7,Srivardhan,IN,83.1,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
9,Sabha,LY,78.75,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
10,Port-Gentil,GA,81.3,overcast clouds,-0.7193,8.7815,Fengshui Residence
14,Hilo,US,73.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
17,Vao,NC,75.61,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
18,Hun,LY,76.08,clear sky,29.1268,15.9477,Alrwasi Hotel
19,Punta Arenas,CL,48.31,few clouds,-53.15,-70.9167,Hotel Hain
21,Baruun-Urt,MN,56.97,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
23,Rikitea,PF,77.07,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Bluff,NZ,46.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Paamiut,GL,32.94,overcast clouds,61.994,-49.6678,Pistut
26,Hami,CN,67.35,scattered clouds,42.8,93.45,Laoyutang Resort
27,Harer,ET,66.63,scattered clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
